"term","estimate","n.eff","std.error","statistic","p.value","model"
"Topographic het.",0.191480545258531,63,0.25347352767476,0.755426205707072,0.449993294376408,"Trait divergence"
"TWI het.",-0.156874675155183,63,0.139265035124001,-1.12644695788503,0.259976380103946,"Trait divergence"
"Soil N het.",-0.095675486387859,63,0.146937946480406,-0.651128511589872,0.514963532955331,"Trait divergence"
"Soil Cec het.",0.0747684351471323,63,0.155137134612702,0.481950600246619,0.629841039350741,"Trait divergence"
"Soil C het.",0.0555975681058007,63,0.14329454995036,0.387994994401817,0.698019737904009,"Trait divergence"
"Soil pH het.",0.0862224114902457,63,0.147672733051925,0.583874962617018,0.55930443923644,"Trait divergence"
"Annual temperature",0.184184201932299,63,0.168810683784566,1.09106958044997,0.275242266863315,"Trait divergence"
"Annual precipitation",0.0501052874719923,63,0.182707187929214,0.274238184276605,0.78390158569469,"Trait divergence"
"Landform het.",0.0890676821560749,63,0.139049203476356,0.640547949425829,0.521816426497985,"Trait divergence"
"Soil clay het.",0.0186931477573382,63,0.197065411935556,0.0948575783732719,0.924427952076369,"Trait divergence"
"Land use intensity",0.123315330021704,63,0.136372575660317,0.904253141987014,0.365861187225203,"Trait divergence"
"Soil sand het.",0.383123399879881,63,0.23845749150889,1.60667378263349,0.108125947712566,"Trait divergence"
"Soil silt het.",-0.526803358648536,63,0.18427192500952,-2.85883679036467,0.00425197486070453,"Trait divergence"
"Topographic het.",0.619693782544839,48.5249281236528,0.275787912071807,2.24699399581911,0.0246404108340173,"Trait evenness"
"TWI het.",0.0965925082100544,48.5249281236528,0.151525149690737,0.637468488941934,0.523819729011622,"Trait evenness"
"Soil N het.",-0.081306688721212,48.5249281236528,0.159873561300093,-0.508568696787796,0.611054575308823,"Trait evenness"
"Soil Cec het.",-0.164231392833363,48.5249281236528,0.16879455954002,-0.972966150573266,0.330570125699044,"Trait evenness"
"Soil C het.",-0.24715884942971,48.5249281236528,0.155909435911997,-1.58527191111908,0.112904568092606,"Trait evenness"
"Soil pH het.",0.270022360956324,48.5249281236528,0.160673067802529,1.68057014563379,0.0928464387211908,"Trait evenness"
"Annual temperature",0.332363873104916,48.5249281236528,0.183671826099578,1.80955283215142,0.0703651601410012,"Trait evenness"
"Annual precipitation",0.115600579052448,48.5249281236528,0.19879176032574,0.58151594846298,0.560892772647988,"Trait evenness"
"Landform het.",-0.0162590232373233,48.5249281236528,0.151290325762849,-0.107469021269805,0.914416900406105,"Trait evenness"
"Soil clay het.",0.021261811229068,48.5249281236528,0.214413957771268,0.0991624400299053,0.921009296343046,"Trait evenness"
"Land use intensity",0.0277043188133691,48.5249281236528,0.148378073270667,0.186714372296988,0.851884586809006,"Trait evenness"
"Soil sand het.",-0.142062527290439,48.5249281236528,0.259449878511991,-0.547552876513963,0.583998953859993,"Trait evenness"
"Soil silt het.",-0.0139771145278539,48.5249281236528,0.200494192618592,-0.0697133136142411,0.944421844832913,"Trait evenness"
"Topographic het.",0.393431621553019,63,0.253844055611119,1.54989495659392,0.121166730365069,"Trait richness"
"TWI het.",-0.0374627939412273,63,0.13946861356693,-0.268610929607106,0.788229100710844,"Trait richness"
"Soil N het.",-0.139680958666913,63,0.147152757219718,-0.94922420283537,0.342506594467292,"Trait richness"
"Soil Cec het.",0.00426949948465479,63,0.15536392785969,0.0274806355855692,0.978076384578748,"Trait richness"
"Soil C het.",-0.1071653062436,63,0.143504034742109,-0.746775562346989,0.455199049220463,"Trait richness"
"Soil pH het.",0.138697633956377,63,0.147888631175234,0.937851901489528,0.348320524224701,"Trait richness"
"Annual temperature",0.0571954049531401,63,0.169057446891295,0.338319346499519,0.735122546011188,"Trait richness"
"Annual precipitation",0.351186493767291,63,0.182974320918317,1.91932120313247,0.0549436962501578,"Trait richness"
"Landform het.",-0.208613854327424,63,0.139252473533035,-1.49809801603225,0.134107786493074,"Trait richness"
"Soil clay het.",-0.0875290005060908,63,0.197353490376057,-0.443513820502005,0.657394124942539,"Trait richness"
"Land use intensity",0.213997013895272,63,0.136571942890608,1.5669178409996,0.117133896888512,"Trait richness"
"Soil sand het.",-0.109336785296547,63,0.238806014124806,-0.457847704117721,0.647061860507731,"Trait richness"
"Soil silt het.",0.277286023775793,63,0.184541296008109,1.50256896301199,0.132950231937761,"Trait richness"
